Client IP Address,Name,Lease Expiration,Type,Unique ID,Description
172.22.11.10,bspr-rvi.nkmz.donetsk.ua,12.06.2020 7:17:30,DHCP,902b349868c0,
172.22.11.11,brtm-ddi-a.nkmz.donetsk.ua,12.06.2020 7:56:22,DHCP,001bfc33ebf0,
172.22.11.13,brtm-ada.nkmz.donetsk.ua,12.06.2020 7:56:44,DHCP,e0d55e79bac6,
172.22.11.14,bstr-zra.nkmz.donetsk.ua,12.06.2020 7:59:42,DHCP,e0d55e0ca77d,
172.22.11.15,bspr-zia.nkmz.donetsk.ua,07.06.2020 8:17:40,DHCP,1c6f65ad7a1e,
172.22.11.16,bspr-kea.nkmz.donetsk.ua,12.06.2020 8:00:22,DHCP,902b3495ab99,
172.22.11.17,bstr-printer.nkmz.donetsk.ua,12.06.2020 8:01:08,DHCP,0002b3c88c74,
172.22.11.19,bstr-tsv.nkmz.donetsk.ua,12.06.2020 7:47:13,DHCP,1c1b0d8dc5f5,
172.22.11.20,bspr-sov.nkmz.donetsk.ua,12.06.2020 8:00:11,DHCP,1c1b0dc09a39,
172.22.11.21,med-6123.nkmz.donetsk.ua,12.06.2020 7:27:19,DHCP,408d5c62a257,
172.22.11.22,bspr-ptn.,12.06.2020 7:43:55,DHCP,001bfcac0d91,
172.22.11.23,bspr-mav.nkmz.donetsk.ua,12.06.2020 11:05:40,DHCP,1c1b0db83acc,
172.22.11.24,boss-kors.nkmz.donetsk.ua,12.06.2020 7:54:11,DHCP,0011d8e6bc3f,
172.22.11.25,brtm-aiy.nkmz.donetsk.ua,12.06.2020 7:58:22,DHCP,e0d55e7b624b,
172.22.11.26,bstr-kvv.nkmz.donetsk.ua,12.06.2020 7:55:27,DHCP,e0d55e79bc33,
172.22.11.27,kors-4094.nkmz.donetsk.ua,12.06.2020 7:53:52,DHCP,0011d8e69cd4,
172.22.11.28,brtm-krn.nkmz.donetsk.ua,12.06.2020 7:42:41,DHCP,001bfc2ffa0b,
172.22.11.29,bspr-kas.nkmz.donetsk.ua,12.06.2020 7:39:24,DHCP,e0d55e0c916f,
172.22.11.30,bstr-kpp.nkmz.donetsk.ua,12.06.2020 7:57:10,DHCP,e0d55e7bdf10,
172.22.11.31,nkmz-5652.nkmz.donetsk.ua,06.06.2020 9:11:29,DHCP,902b349c797d,
172.22.11.32,brtm-lti.,12.06.2020 7:59:54,DHCP,001bfcac0d63,
172.22.11.34,brtm-kis.nkmz.donetsk.ua,12.06.2020 7:46:23,DHCP,e0d55e79bc2d,
172.22.11.35,bspr-mvs.nkmz.donetsk.ua,12.06.2020 7:36:04,DHCP,e0d55e7be135,
172.22.11.36,medsanceh-3594.nkmz.donetsk.ua,12.06.2020 6:46:02,DHCP,000ea650fa72,
172.22.11.37,bspr-cvn.nkmz.donetsk.ua,12.06.2020 7:22:22,DHCP,001bfcac0cc8,
172.22.11.39,brspm-printer.nkmz.donetsk.ua,12.06.2020 7:18:17,DHCP,0011d8e6bc90,
172.22.11.40,bstr-bee.nkmz.donetsk.ua,31.05.2020 16:37:08,DHCP,902b3495ab05,
172.22.11.43,bstr-teb.nkmz.donetsk.ua,12.06.2020 8:01:23,DHCP,001bfcac0d97,
172.22.11.45,bstr-yav.nkmz.donetsk.ua,12.06.2020 7:55:52,DHCP,001bfcac0d7f,
172.22.11.52,bstr-ksp.nkmz.donetsk.ua,12.06.2020 7:11:43,DHCP,001bfc301361,
